,time[ms],time_0,csv_load_0,time_1,csv_load_1
2782,5200,5200,0.6666666666666666,4900.0,0.9166666666666666
2783,5300,5300,0.6511627906976745,5000.0,0.8571428571428571
2784,5400,5400,0.6368159203980099,5100.0,0.7272727272727273
2785,5500,5500,0.6351351351351351,5200.0,
2786,5600,5600,0.6241134751773051,5300.0,
2787,5700,5700,0.6474820143884892,5400.0,0.7692307692307693
2788,5800,5800,0.6455696202531646,5500.0,0.8571428571428571
2789,5900,5900,0.6666666666666666,5600.0,0.7692307692307693
2790,6000,6000,0.6666666666666666,5700.0,1.0
2791,6100,6100,0.5789473684210527,5800.0,0.75
2792,6200,6200,0.6792452830188679,5900.0,0.7272727272727273
2793,6300,6300,0.6540540540540539,6000.0,0.8181818181818182
2794,6400,6400,0.6384615384615384,6100.0,
2795,6500,6500,0.6355932203389829,6200.0,
2796,6600,6600,0.6526845637585249,6300.0,0.7857142857142857
2797,6700,6700,0.6249999999998395,6400.0,0.8333333333333334
2798,6800,6800,0.6944444444444444,6500.0,0.8333333333333334
2799,6900,6900,0.6716417910447762,6600.0,
2800,7000,7000,0.6576576576576577,6700.0,
2801,7100,7100,0.546583850931677,6800.0,0.7222222222222222
2802,7200,7200,0.5369127516778524,6900.0,0.7272727272727273
2803,7300,7300,0.6012658227848101,7000.0,0.5555555555555556
2804,7400,7400,0.6484848484848484,7100.0,0.8571428571428571
2805,7500,7500,0.6299212598425197,7200.0,0.8
2806,7600,7600,0.5657142857142857,7300.0,0.8461538461538461
2807,7700,7700,0.6190476190476191,7400.0,
2808,7800,7800,0.6107784431137725,7500.0,
2809,7900,7900,0.6308724832214765,7600.0,0.8333333333333334
2810,8000,8000,0.6643835616438356,7700.0,0.8
2811,0,0,,7800.0,0.8
2812,100,100,0.9364161849710982,7900.0,0.6666666666666666
2813,200,200,0.8852459016393442,8000.0,0.6666666666666666
2814,300,300,0.7910447761194029,0.0,
2815,400,400,0.8817204301075269,100.0,0.9333333333333332
2816,500,500,0.8611111111111112,200.0,0.7692307692307693
2817,600,600,0.9057971014492754,300.0,
2818,700,700,0.8716216216216216,400.0,
2819,800,800,0.9602272727272728,500.0,
